index , Longitude, Latitude,hour,DBSCAN,HAC,K-Means,Satellite Number
397,163.9131178,-9.840097885,4,0,0,1,23413
398,172.8318815,12.45550102,11,0,0,1,11728
399,225.370316,-3.834740824,13,0,3,0,2639
400,256.9954196,8.685400164,10,0,3,0,23553
401,246.4147291,-12.84286325,16,0,3,0,20394
402,194.7975505,5.624430099,16,0,3,1,22096
403,204.6152515,4.583243575,15,0,3,1,23013
404,250.8123774,13.17610133,8,0,3,0,20122
405,219.2298778,12.07547703,4,0,3,1,10061
406,191.846605,9.490334686,13,0,3,1,17705
407,255.050599,0.02530334,5,0,3,0,29644
408,252.664383,-0.013626732,16,0,3,0,26624
409,253.346398,-4.207002163,13,0,3,0,19686
410,176.791734,1.205451942,12,0,0,1,37737
411,249.1130812,9.812974628,9,0,3,0,28218
412,159.0259534,0.022498247,10,0,0,1,25924
413,195.1459481,10.63310755,14,0,3,1,25896
414,230.8049134,1.209543539,12,0,3,0,24315
415,222.7936821,10.20175497,7,0,3,1,23778
416,171.7718303,-4.178247136,6,0,0,1,25258
417,216.8342067,2.51031859,16,0,3,1,25673
418,193.1066068,7.553346104,15,0,0,1,21639
419,246.0290024,4.818301457,11,0,3,0,13595
420,254.9114184,-1.026115285,12,0,3,0,13069
421,222.6607631,11.18701999,7,0,3,1,23778
422,253.2064223,-7.786765257,14,0,3,0,19686
423,247.155178,15.42236977,7,0,3,0,13595
424,201.2755286,15.55995618,7,0,3,1,15219
425,253.543266,12.98076797,8,0,3,0,19686
426,244.9455934,-9.095584676,14,0,3,0,16214
427,156.0309075,-0.036279363,10,0,0,1,27831
428,193.301365,1.972709228,8,0,0,1,29233
429,153.9085954,1.057654238,13,0,0,1,29516
430,234.248597,5.414549962,13,0,3,0,23108
431,228.8881823,-0.696443667,5,0,3,0,26378
432,244.0950191,-4.973404094,12,0,3,0,17873
433,256.2885518,8.496271003,6,0,3,0,23553
434,251.300559,11.82242614,9,0,3,0,26738
435,188.9081344,2.890749479,5,0,0,1,17065
436,170.8064665,8.818101217,8,0,0,1,15629
437,204.8282882,7.696305407,14,0,3,1,21139
438,179.5139355,15.69347098,9,0,0,1,19090
439,159.9748549,0.800501402,16,0,0,1,37210
440,232.0582385,12.93481295,5,0,3,0,18631
441,153.0491794,-6.555506167,4,0,0,1,25331
442,211.8531963,14.78958971,9,0,3,1,14333
